computer_data,aspect_sentiment,review,aspects,sentiment_score,sentiment
"direct Elictrical connectivity[-1], connect[-1][v] ## My comments are as follow : 1 - Does n't have direct Elictrical connectivity -LRB- you need Adapter which is comming with the package -RRB- 2 - It is really very difficult to connect the the power Cable & the regular -LRB- VGA -RRB- PC connection .","direct Elictrical connectivity[-1], connect[-1][v] ", My comments are as follow : 1 - Does n't have direct Elictrical connectivity -LRB- you need Adapter which is comming with the package -RRB- 2 - It is really very difficult to connect the the power Cable & the regular -LRB- VGA -RRB- PC connection .,"direct Elictrical connectivity, connect ",-1,negative
"quality of picture[-1], DVI Connection[+1], VGA Connection[-1] ## 3 - Not perfect quality of picture if you use the VGA Connection while the DVI Connection is perfect .","quality of picture[-1], DVI Connection[+1], VGA Connection[-1] ", 3 - Not perfect quality of picture if you use the VGA Connection while the DVI Connection is perfect .,"quality of picture, DVI Connection, VGA Connection ",-1,negative
## 4 - No flixpility to turn the monitor right or left because it is fixed .,, 4 - No flixpility to turn the monitor right or left because it is fixed .,,0,neutral
## 5 - hight can not be adjusted .,, 5 - hight can not be adjusted .,,0,neutral
## Some of you may ask how did I gave 4\/5 while having the mentioned disadvantages .,, Some of you may ask how did I gave 4\/5 while having the mentioned disadvantages .,,0,neutral
LCD monitor[+1] ## Then I would say that this LCD monitor have many feature in one piece .,LCD monitor[+1] , Then I would say that this LCD monitor have many feature in one piece .,LCD monitor ,1,positive
"## It has TV tuner , Composite inputs , DVI Input , SCART Input , Nice Speekers .",," It has TV tuner , Composite inputs , DVI Input , SCART Input , Nice Speekers .",,0,neutral
"remote control[+1] ## In addition , it comes with a remote control .",remote control[+1] ," In addition , it comes with a remote control .",remote control ,1,positive
"screen quality[+1], side view[+1] ## The screen quality is very high & the side view is very sharp & clear .","screen quality[+1], side view[+1] ", The screen quality is very high & the side view is very sharp & clear .,"screen quality, side view ",1,positive
## In conclusion this master piece has every thing you need .,, In conclusion this master piece has every thing you need .,,0,neutral
"price[-1] ## One last note , I purchased this monitor with a higher price than what you can get in the states .",price[-1] ," One last note , I purchased this monitor with a higher price than what you can get in the states .",price ,-1,negative
pricess[+1] ## It costs me about 640 $ so you should be gratefull that the pricess in the states much lower .,pricess[+1] , It costs me about 640 $ so you should be gratefull that the pricess in the states much lower .,pricess ,1,positive
"## Regards , Abdulrahman Saudi Arabia - Riyadh",," Regards , Abdulrahman Saudi Arabia - Riyadh",,0,neutral
## Everything on this unit seems fine so far except for one item .,, Everything on this unit seems fine so far except for one item .,,0,neutral
## Almost all new video cards have DVI only connection .,, Almost all new video cards have DVI only connection .,,0,neutral
vga connection[-1] ## This means that the vga connection will not work with my computers .,vga connection[-1] , This means that the vga connection will not work with my computers .,vga connection ,-1,negative
## I will have to find an adapter of some sort which is a pain as a cable should be sent with the unit in my honest opinin .,, I will have to find an adapter of some sort which is a pain as a cable should be sent with the unit in my honest opinin .,,0,neutral
## I use a dual monitor workstation -LRB- normally both 24 '' -RRB- for web development and video production .,, I use a dual monitor workstation -LRB- normally both 24 '' -RRB- for web development and video production .,,0,neutral
"## One of my monitors recently went south -LRB- quit working -RRB- , and I went looking for a replacement .",," One of my monitors recently went south -LRB- quit working -RRB- , and I went looking for a replacement .",,0,neutral
"## Though this monitor is only a 23 '' , the reviews were good and I 've always had good luck with Acer products .",," Though this monitor is only a 23 '' , the reviews were good and I 've always had good luck with Acer products .",,0,neutral
"color[+1], brightness[+1], pixel quality[+1] ## I 'm glad I went with it , it actually exceeds my ViewSonic for color , brightness , and pixel quality .","color[+1], brightness[+1], pixel quality[+1] "," I 'm glad I went with it , it actually exceeds my ViewSonic for color , brightness , and pixel quality .","color, brightness, pixel quality ",1,positive
"## In fact , my 24 '' Viewsonic has now been moved to second monitor position and this Acer is now the primary .",," In fact , my 24 '' Viewsonic has now been moved to second monitor position and this Acer is now the primary .",,0,neutral
"monitor[+1], resolution[+1] ## Though it does n't have quite the screen real estate , it 's an excellent monitor and crystal clear at a resolution of 1920x1080 .","monitor[+1], resolution[+1] "," Though it does n't have quite the screen real estate , it 's an excellent monitor and crystal clear at a resolution of 1920x1080 .","monitor, resolution ",1,positive
"monitor[+1], price[+1] ## Very happy with the monitor and the price ...","monitor[+1], price[+1] ", Very happy with the monitor and the price ...,"monitor, price ",1,positive
monitor[+1] ## I have this monitor for a month now and I 'm very pleased with it .,monitor[+1] , I have this monitor for a month now and I 'm very pleased with it .,monitor ,1,positive
## I have it at my home office and we sometimes watch movies on it .,, I have it at my home office and we sometimes watch movies on it .,,0,neutral
widescreen[+1] ## My wife is even more pleased due to its widescreen .,widescreen[+1] , My wife is even more pleased due to its widescreen .,widescreen ,1,positive
"colors[+1] ## The colors are clear , also .",colors[+1] ," The colors are clear , also .",colors ,1,positive
## I purchased this monitor after shopping around for a good deal on a 19 '' LCD .,, I purchased this monitor after shopping around for a good deal on a 19 '' LCD .,,0,neutral
## What a mistake .,, What a mistake .,,0,neutral
"backlight[-1] ## The backlight will periodically fail , the first time it happened I sent it in for warranty repair .",backlight[-1] ," The backlight will periodically fail , the first time it happened I sent it in for warranty repair .",backlight ,-1,negative
"Acer tech support[+1] ## It came back working , and I was momentarily glad that the rumors I 'd heard about Acer tech support did n't turn out to be true in my case .",Acer tech support[+1] ," It came back working , and I was momentarily glad that the rumors I 'd heard about Acer tech support did n't turn out to be true in my case .",Acer tech support ,1,positive
## The second time it happened I got suspicious .,, The second time it happened I got suspicious .,,0,neutral
## I wanted to call acer tech support and talk to someone .,, I wanted to call acer tech support and talk to someone .,,0,neutral
## I managed to find their mysterious phone number from a google cache and called them .,, I managed to find their mysterious phone number from a google cache and called them .,,0,neutral
## It turns out they did n't DO anything when they received it .,, It turns out they did n't DO anything when they received it .,,0,neutral
"## They opened it up , turned it on , and it worked so they sent it back .",," They opened it up , turned it on , and it worked so they sent it back .",,0,neutral
"## Of course , they do n't tell you they did nothing .",," Of course , they do n't tell you they did nothing .",,0,neutral
"Acer[-1] ## Acer has been awful to deal with , they treat their customers like rubbish , and have a miserable repair facility to match their products .",Acer[-1] ," Acer has been awful to deal with , they treat their customers like rubbish , and have a miserable repair facility to match their products .",Acer ,-1,negative
monitor[-1] ## Do n't buy this monitor !,monitor[-1] , Do n't buy this monitor !,monitor ,-1,negative
"backlight[-1] ## Now when the backlight fails , I have to leave it unplugged overnight and it works the next day .",backlight[-1] ," Now when the backlight fails , I have to leave it unplugged overnight and it works the next day .",backlight ,-1,negative
## Acer will not replace it because the problem does n't occur when they have it .,, Acer will not replace it because the problem does n't occur when they have it .,,0,neutral
"## worldwide distributor was the worst buying experience in my life , since i started to shop online .",," worldwide distributor was the worst buying experience in my life , since i started to shop online .",,0,neutral
## never ever .,, never ever .,,0,neutral
"## i 'm regular online shopper , i never had this bad experience in my life , this bring Question .",," i 'm regular online shopper , i never had this bad experience in my life , this bring Question .",,0,neutral
product[+1] ## I really enjoy this product .,product[+1] , I really enjoy this product .,product ,1,positive
"portability[+1], battery life[+1] ## I was looking for portability and good battery life and this product delivers both .","portability[+1], battery life[+1] ", I was looking for portability and good battery life and this product delivers both .,"portability, battery life ",1,positive
"slow[-1][a], system[-1] ## I felt the system was slow so I purchased a 4gb ram from crucell and replaced the standard 2gb that came with the system .","slow[-1][a], system[-1] ", I felt the system was slow so I purchased a 4gb ram from crucell and replaced the standard 2gb that came with the system .,"slow, system ",-1,negative
battery[+1] ## I seem to be getting 5 to 6 hours on the battery which is sufficient for my needs .,battery[+1] , I seem to be getting 5 to 6 hours on the battery which is sufficient for my needs .,battery ,1,positive
"## Since I 've only had the computer for a few weeks I 'll report later on my further experience with the system <aï¿½href=""http://www.amazon.com/gp/product/B001KB21KA/ref=cm_cr_asin_lnk/192-0570718-7655811""> Crucial Technology CT51264BC1067 4 GB 204-pin SODIMM DDR3 PC3-8500 CL = 7 Unbuffered NON-ECC DDR3-1066 1.5 V 512Meg x 64 Memory </a>",," Since I 've only had the computer for a few weeks I 'll report later on my further experience with the system <aï¿½href=""http://www.amazon.com/gp/product/B001KB21KA/ref=cm_cr_asin_lnk/192-0570718-7655811""> Crucial Technology CT51264BC1067 4 GB 204-pin SODIMM DDR3 PC3-8500 CL = 7 Unbuffered NON-ECC DDR3-1066 1.5 V 512Meg x 64 Memory </a>",,0,neutral
## Just walk away .,, Just walk away .,,0,neutral
## I do n't think Acer brand is ready for the USA .,, I do n't think Acer brand is ready for the USA .,,0,neutral
"technical support[-1] ## Someday , your going to need support , and Acer 's technical support department is the next to worthless .",technical support[-1] ," Someday , your going to need support , and Acer 's technical support department is the next to worthless .",technical support ,-1,negative
"## So , my opinion is to shop elsewhere .",," So , my opinion is to shop elsewhere .",,0,neutral
## I got this product yesterday ... !!!,, I got this product yesterday ... !!!,,0,neutral
"netbook[+1], light[+1][a] ## This netbook is very light but still powerful .","netbook[+1], light[+1][a] ", This netbook is very light but still powerful .,"netbook, light ",1,positive
Screen brightness[+1] ## Screen brightness is really good .,Screen brightness[+1] , Screen brightness is really good .,Screen brightness ,1,positive
"Sound[+1], size[-1] ## Sound is also nice as compared to its size .","Sound[+1], size[-1] ", Sound is also nice as compared to its size .,"Sound, size ",1,positive
"cheap[+1][a], netbook[+1] ## This netbook is closer to the notebook powers but still very cheap .","cheap[+1][a], netbook[+1] ", This netbook is closer to the notebook powers but still very cheap .,"cheap, netbook ",1,positive
## Portables are fragile machines that need extra care .,, Portables are fragile machines that need extra care .,,0,neutral
## If you spend a lot of money on a Mac Book Pro spend these extra few hundred too if you prefer a relaxed life .,, If you spend a lot of money on a Mac Book Pro spend these extra few hundred too if you prefer a relaxed life .,,0,neutral
"## I was planning to buy a kindle fire on amazon but just got this little thing packed with 320 GB HD , Win 7 Home Premium , webcam , office starter etc etc. .",," I was planning to buy a kindle fire on amazon but just got this little thing packed with 320 GB HD , Win 7 Home Premium , webcam , office starter etc etc. .",,0,neutral
## Then I decided to invest few more bucks and went for this netbook .,, Then I decided to invest few more bucks and went for this netbook .,,0,neutral
## I do n't know why people buy expensive gadgets like ipad2 3G ... very satisfied and I think I made very good decision .,, I do n't know why people buy expensive gadgets like ipad2 3G ... very satisfied and I think I made very good decision .,,0,neutral
delivering[+1] ## Pros : Competitive Cost Win 7 Home premium HDMI port -LRB- I could watch the Amazon instant videos on my HDTV and its delivering great .,delivering[+1] , Pros : Competitive Cost Win 7 Home premium HDMI port -LRB- I could watch the Amazon instant videos on my HDTV and its delivering great .,delivering ,1,positive
## I am so happy that I was clever enough to take out Apple Care as it saved me buying a new computer and a lot of stress .,, I am so happy that I was clever enough to take out Apple Care as it saved me buying a new computer and a lot of stress .,,0,neutral
## Just the other day Apple replaced my computer that was 18 months old due to hassle that occured in the past three months .,, Just the other day Apple replaced my computer that was 18 months old due to hassle that occured in the past three months .,,0,neutral
"Office Starter Web Cam[+1], weight[+1] ## Office Starter Web Cam is also fairly good Light in weight and elegant Cons : I wo n't say anything bad as you are just paying 280 for this net book .","Office Starter Web Cam[+1], weight[+1] ", Office Starter Web Cam is also fairly good Light in weight and elegant Cons : I wo n't say anything bad as you are just paying 280 for this net book .,"Office Starter Web Cam, weight ",1,positive
## I would imagine the cost will go upto 200 bucks one day and then it will be unbeatable deal .,, I would imagine the cost will go upto 200 bucks one day and then it will be unbeatable deal .,,0,neutral
"monitor[+1], price[+1], cable hook ups[-1][v] ## Nice monitor for price but I agree with other customer review about difficulty of cable hook ups .","monitor[+1], price[+1], cable hook ups[-1][v] ", Nice monitor for price but I agree with other customer review about difficulty of cable hook ups .,"monitor, price, cable hook ups ",1,positive
## Would like to know what the DVI cable is used for .,, Would like to know what the DVI cable is used for .,,0,neutral
monitor[+1] ## I love this monitor .,monitor[+1] , I love this monitor .,monitor ,1,positive
"color display[+1], picture[+1], size[+1] ## Great color display , sharp picture , and just the right size for my desk .","color display[+1], picture[+1], size[+1] "," Great color display , sharp picture , and just the right size for my desk .","color display, picture, size ",1,positive
Fits[+1][v] ## Fits perfectly in the corner of my small desk !!,Fits[+1][v] , Fits perfectly in the corner of my small desk !!,Fits ,1,positive
## I bought this monitor as an addition to my existing desktop monitor .,, I bought this monitor as an addition to my existing desktop monitor .,,0,neutral
"images[+1], text[+1], fonts[+1] ## The images are vivid and crisp , the text and fonts are very clear .","images[+1], text[+1], fonts[+1] "," The images are vivid and crisp , the text and fonts are very clear .","images, text, fonts ",1,positive
price[+1] ## Absolutely love it and cant beat the price !,price[+1] , Absolutely love it and cant beat the price !,price ,1,positive
monitor[+1] ## This monitor works great .,monitor[+1] , This monitor works great .,monitor ,1,positive
"set up[+1][v], pixels[+1], price[+1], LCD monitor[+1] ## Easy to set up , no bad pixels , great price for 19 LCD monitor !","set up[+1][v], pixels[+1], price[+1], LCD monitor[+1] "," Easy to set up , no bad pixels , great price for 19 LCD monitor !","set up, pixels, price, LCD monitor ",1,positive
## This is our second Acer LCD monitor .,, This is our second Acer LCD monitor .,,0,neutral
items[+1] ## Both are absolutely great items .,items[+1] , Both are absolutely great items .,items ,1,positive
## Seems as though when Acer started out they seemed a bit on the po-dank side of the computer industry .,, Seems as though when Acer started out they seemed a bit on the po-dank side of the computer industry .,,0,neutral
## No more !,, No more !,,0,neutral
Acer stuff[+1] ## All the latest Acer stuff is top notch !,Acer stuff[+1] , All the latest Acer stuff is top notch !,Acer stuff ,1,positive
"Acer Monitor[+1], screen[+1], design[+1] ## The Acer Monitor has an extremely bright screen and its design allows the placement in an area -LRB- from a heighth perspective -RRB- that many 20 '' screens will not fit in .","Acer Monitor[+1], screen[+1], design[+1] ", The Acer Monitor has an extremely bright screen and its design allows the placement in an area -LRB- from a heighth perspective -RRB- that many 20 '' screens will not fit in .,"Acer Monitor, screen, design ",1,positive
"brighter[+1][a], weighs[+1] ## Compared to the 19 '' Dell Monitor this replaced it is far brighter and weighs much less .","brighter[+1][a], weighs[+1] ", Compared to the 19 '' Dell Monitor this replaced it is far brighter and weighs much less .,"brighter, weighs ",1,positive
set up[+1][v] ## Very easy to set up .,set up[+1][v] , Very easy to set up .,set up ,1,positive
"monitor[+1], price[+1] ## Highly recommend this monitor - hard to beat at this price point .","monitor[+1], price[+1] ", Highly recommend this monitor - hard to beat at this price point .,"monitor, price ",1,positive
"clarity[+1], sharpness[+1] ## I purchased three of these Acer 19 '' at very good rates from Amazon ... we are extremely pleased with the clarity and sharpness .","clarity[+1], sharpness[+1] ", I purchased three of these Acer 19 '' at very good rates from Amazon ... we are extremely pleased with the clarity and sharpness .,"clarity, sharpness ",1,positive
